  8979.000   29  1  1     0.00000   -10.91368    -6.90610  1  1     8837.733  0.016794230     0.00000 = E_edge, Z, n_edge, j_edge, Abs_before_edge, VO_interstitial, E_Fermi, ninitl, ninit1, Epsii, Atom_density, f0_forward
    Energy    left_pol      right_pol       dic(100)   
   -21.000  1.0393480E-04  1.0394369E-04 -8.8876760E-09
   -20.900  1.0379557E-04  1.0380406E-04 -8.4858214E-09
   -20.800  1.0369035E-04  1.0369848E-04 -8.1242292E-09
   -20.700  1.0361638E-04  1.0362418E-04 -7.7992164E-09
   -20.600  1.0357460E-04  1.0358211E-04 -7.5083519E-09
   -20.500  1.0356292E-04  1.0357017E-04 -7.2488508E-09
   -20.400  1.0358020E-04  1.0358722E-04 -7.0182939E-09
   -20.300  1.0362560E-04  1.0363241E-04 -6.8146257E-09
   -20.200  1.0369843E-04  1.0370507E-04 -6.6360468E-09
   -20.100  1.0379816E-04  1.0380464E-04 -6.4809461E-09
   -20.000  1.0392445E-04  1.0393080E-04 -6.3479283E-09
   -19.900  1.0407555E-04  1.0408179E-04 -6.2355943E-09
   -19.800  1.0425388E-04  1.0426002E-04 -6.1432291E-09
   -19.700  1.0445866E-04  1.0446473E-04 -6.0696720E-09
   -19.600  1.0468988E-04  1.0469589E-04 -6.0139773E-09
   -19.500  1.0494772E-04  1.0495369E-04 -5.9752397E-09
   -19.400  1.0523253E-04  1.0523848E-04 -5.9526324E-09
   -19.300  1.0554477E-04  1.0555071E-04 -5.9454741E-09
   -19.200  1.0588509E-04  1.0589104E-04 -5.9529089E-09
   -19.100  1.0625250E-04  1.0625848E-04 -5.9737916E-09
   -19.000  1.0665088E-04  1.0665689E-04 -6.0076548E-09
   -18.900  1.0708013E-04  1.0708619E-04 -6.0533219E-09
   -18.800  1.0754126E-04  1.0754737E-04 -6.1096631E-09
   -18.700  1.0803548E-04  1.0804165E-04 -6.1754281E-09
   -18.600  1.0856419E-04  1.0857044E-04 -6.2485802E-09
   -18.500  1.0912905E-04  1.0913537E-04 -6.3270785E-09
   -18.400  1.0973076E-04  1.0973717E-04 -6.4083745E-09
   -18.300  1.1037280E-04  1.1037929E-04 -6.4894562E-09
   -18.200  1.1105799E-04  1.1106456E-04 -6.5665142E-09
   -18.100  1.1178827E-04  1.1179490E-04 -6.6348589E-09
   -18.000  1.1256642E-04  1.1257311E-04 -6.6883674E-09
   -17.900  1.1339558E-04  1.1340230E-04 -6.7196025E-09
   -17.800  1.1427935E-04  1.1428607E-04 -6.7189878E-09
   -17.700  1.1522039E-04  1.1522706E-04 -6.6742724E-09
   -17.600  1.1622521E-04  1.1623179E-04 -6.5706750E-09
   -17.500  1.1729930E-04  1.1730569E-04 -6.3896955E-09
   -17.400  1.1844775E-04  1.1845386E-04 -6.1070572E-09
   -17.300  1.1967706E-04  1.1968275E-04 -5.6923068E-09
   -17.200  1.2099467E-04  1.2099977E-04 -5.1061484E-09
   -17.100  1.2240857E-04  1.2241287E-04 -4.2986757E-09
   -17.000  1.2392801E-04  1.2393122E-04 -3.2064958E-09
   -16.900  1.2556730E-04  1.2556905E-04 -1.7470922E-09
   -16.800  1.2733855E-04  1.2733836E-04  1.8728305E-10
   -16.700  1.2925700E-04  1.2925426E-04  2.7382061E-09
   -16.600  1.3134096E-04  1.3133487E-04  6.0917271E-09
   -16.500  1.3361112E-04  1.3360062E-04  1.0493473E-08
   -16.400  1.3609352E-04  1.3607724E-04  1.6273615E-08
   -16.300  1.3882179E-04  1.3879791E-04  2.3879986E-08
   -16.200  1.4183362E-04  1.4179969E-04  3.3926271E-08
   -16.100  1.4517547E-04  1.4512820E-04  4.7263412E-08
   -16.000  1.4890608E-04  1.4884100E-04  6.5082694E-08
   -15.900  1.5309753E-04  1.5300844E-04  8.9088365E-08
   -15.800  1.5784906E-04  1.5772729E-04  1.2176202E-07
   -15.700  1.6328730E-04  1.6312051E-04  1.6678247E-07
   -15.600  1.6957928E-04  1.6934954E-04  2.2974017E-07
   -15.500  1.7695548E-04  1.7663612E-04  3.1935818E-07
   -15.400  1.8573910E-04  1.8528942E-04  4.4967745E-07
   -15.300  1.9641014E-04  1.9576590E-04  6.4423880E-07
   -15.200  2.0969326E-04  2.0874902E-04  9.4424198E-07
   -15.100  2.2674924E-04  2.2532305E-04  1.4261919E-06
   -15.000  2.4955891E-04  2.4731649E-04  2.2424157E-06
   -14.900  2.8182198E-04  2.7809566E-04  3.7263162E-06
   -14.800  3.3128006E-04  3.2457344E-04  6.7066173E-06
   -14.700  4.1717868E-04  4.0351308E-04  1.3665595E-05
   -14.600  6.0262357E-04  5.6797410E-04  3.4649476E-05
   -14.500  1.2449267E-03  1.1014253E-03  1.4350143E-04
   -14.400  2.0113620E-02  1.4074777E-02  6.0388432E-03
   -14.300  7.4161445E-03  8.0043841E-03 -5.8823957E-04
   -14.200  1.0222477E-02  9.6719071E-03  5.5056987E-04
   -14.100  1.1115844E-02  1.0093950E-02  1.0218933E-03
   -14.000  3.1096662E-02  3.3840016E-02 -2.7433547E-03
   -13.900  1.1975134E-02  8.9759358E-03  2.9991985E-03
   -13.800  8.1965448E-03  8.4499262E-03 -2.5338139E-04
   -13.700  3.8922848E-03  4.4362042E-03 -5.4391936E-04
   -13.600  3.9919552E-03  3.4473935E-03  5.4456168E-04
   -13.500  1.4381680E-02  1.7284592E-02 -2.9029121E-03
   -13.400  1.7561649E-02  2.3065137E-02 -5.5034881E-03
   -13.300  6.8831670E-03  7.9397834E-03 -1.0566164E-03
   -13.200  7.7205002E-02  9.0684643E-02 -1.3479641E-02
   -13.100  3.0030521E-02  2.4359197E-02  5.6713242E-03
   -13.000  5.7298202E-02  4.0462084E-02  1.6836118E-02
   -12.900  2.6636058E-02  2.9787013E-02 -3.1509557E-03
   -12.800  1.4616416E-02  1.3971588E-02  6.4482839E-04
   -12.700  4.1240422E-02  5.3587780E-02 -1.2347359E-02
   -12.600  2.5223131E-02  2.5258783E-02 -3.5652422E-05
   -12.500  6.5914284E-03  8.6087113E-03 -2.0172828E-03
   -12.400  1.8989630E-02  2.0530822E-02 -1.5411927E-03
   -12.300  4.5657382E-02  4.4021610E-02  1.6357717E-03
   -12.200  4.1651615E-02  5.5002136E-02 -1.3350522E-02
   -12.100  1.3488636E-02  1.3355465E-02  1.3317075E-04
   -12.000  2.4186775E-02  2.4941008E-02 -7.5423292E-04
   -11.900  1.7886013E-02  1.5648788E-02  2.2372249E-03
   -11.800  6.1395036E-02  6.5468673E-02 -4.0736365E-03
   -11.700  9.8066385E-02  9.7346187E-02  7.2019810E-04
   -11.600  1.7894741E-02  1.8147099E-02 -2.5235768E-04
   -11.500  5.1465822E-02  5.6641292E-02 -5.1754700E-03
   -11.400  2.6488992E-02  2.7206227E-02 -7.1723532E-04
   -11.300  1.0892584E-02  1.6306335E-02 -5.4137505E-03
   -11.200  3.7058432E-02  3.2801130E-02  4.2573013E-03
   -11.100  1.6953271E-02  1.3055298E-02  3.8979732E-03
   -11.000  2.5049045E-02  2.8312847E-02 -3.2638021E-03
   -10.900  2.7131141E-02  3.2875823E-02 -5.7446815E-03
   -10.800  5.2922605E-02  5.2609609E-02  3.1299606E-04
   -10.700  1.5438748E-02  1.7176291E-02 -1.7375429E-03
   -10.600  2.7968471E-02  4.2111511E-02 -1.4143041E-02
   -10.500  2.3608980E-02  2.0889229E-02  2.7197514E-03
   -10.400  5.7699054E-02  3.9106327E-02  1.8592727E-02
   -10.300  1.1891236E-01  1.1575888E-01  3.1534813E-03
   -10.200  7.6399377E-02  7.6821305E-02 -4.2192803E-04
   -10.100  1.2003422E-01  1.2863975E-01 -8.6055337E-03
   -10.000  5.8703090E-02  7.6187766E-02 -1.7484675E-02
    -9.900  9.0328886E-02  7.3935874E-02  1.6393012E-02
    -9.800  6.8232002E-02  8.4534222E-02 -1.6302220E-02
    -9.700  1.2638303E-01  1.3376431E-01 -7.3812847E-03
    -9.600  1.2160861E-01  1.6037757E-01 -3.8768957E-02
    -9.500  6.7706107E-02  7.5325034E-02 -7.6189264E-03
    -9.400  1.2232012E-01  9.2029527E-02  3.0290595E-02
    -9.300  8.0976757E-02  8.9723317E-02 -8.7465598E-03
    -9.200  1.2876413E-01  1.2020059E-01  8.5635392E-03
    -9.100  2.5136691E-01  1.6578784E-01  8.5579065E-02
    -9.000  9.1368050E-02  7.7310397E-02  1.4057653E-02
    -8.900  5.8975568E-02  7.2883453E-02 -1.3907885E-02
    -8.800  1.0660630E-01  2.7050300E-02  7.9556003E-02
    -8.700  1.0417434E-01  9.4987102E-02  9.1872424E-03
    -8.600  9.2959152E-02  8.7449057E-02  5.5100955E-03
    -8.500  1.4125245E-01  1.2634877E-01  1.4903681E-02
    -8.400  6.1435687E-02  2.7426035E-02  3.4009652E-02
    -8.300  1.8849990E-02  1.1700998E-02  7.1489914E-03
    -8.200  4.5916527E-01  3.4201229E-01  1.1715298E-01
    -8.100  6.8035014E-02  7.3827649E-02 -5.7926346E-03
    -8.000  1.0008418E-02  2.7652861E-02 -1.7644443E-02
    -7.900  1.6177056E-02  6.5250464E-02 -4.9073408E-02
    -7.800  2.3288876E-03  5.6009703E-03 -3.2720827E-03
    -7.700  1.8125656E-03  3.5520915E-03 -1.7395259E-03
    -7.600  2.1242378E-03  4.1892097E-03 -2.0649719E-03
    -7.500  4.2993763E-03  7.3757217E-03 -3.0763454E-03
    -7.400  4.0380615E-03  5.5344641E-03 -1.4964026E-03
    -7.300  3.6312422E-03  5.8397768E-03 -2.2085345E-03
    -7.200  7.3043871E-03  4.1250886E-03  3.1792985E-03
    -7.100  7.2869176E-03  6.7194437E-03  5.6747390E-04
    -7.000  3.3481257E-03  4.4213858E-03 -1.0732601E-03
    -6.900  3.8357275E-03  3.9425720E-03 -1.0684444E-04
    -6.800  1.5001509E-03  2.2443989E-03 -7.4424807E-04
    -6.700  6.6480790E-04  6.6905898E-04 -4.2510826E-06
    -6.600  6.0333603E-04  5.3456460E-04  6.8771425E-05
    -6.500  6.1263787E-04  4.8838642E-04  1.2425144E-04
    -6.400  6.6261319E-04  4.6424132E-04  1.9837187E-04
    -6.300  9.3072946E-04  5.3668183E-04  3.9404763E-04
    -6.200  2.3535352E-02  2.0939588E-02  2.5957644E-03
    -6.100  4.3871661E-04  5.8404572E-04 -1.4532911E-04
    -6.000  2.8404736E-04  3.4483516E-04 -6.0787801E-05
    -5.900  2.4116771E-04  2.7375704E-04 -3.2589329E-05
    -5.800  2.2997404E-04  2.4755993E-04 -1.7585885E-05
    -5.700  2.5843716E-04  2.6173223E-04 -3.2950622E-06
    -5.600  4.0524214E-04  3.9059523E-04  1.4646905E-05
    -5.500  5.5870944E-04  4.3655387E-04  1.2215557E-04
    -5.400  8.3237702E-04  5.8630776E-04  2.4606926E-04
    -5.300  7.6035053E-04  6.5869842E-04  1.0165212E-04
    -5.200  6.0817680E-04  6.1757355E-04 -9.3967583E-06
    -5.100  5.1556608E-04  5.0904538E-04  6.5206984E-06
    -5.000  5.1511458E-04  4.8712842E-04  2.7986155E-05
    -4.900  5.8015222E-04  5.3437256E-04  4.5779658E-05
    -4.800  7.2864895E-04  6.6106281E-04  6.7586137E-05
    -4.700  1.0037820E-03  9.0400916E-04  9.9772857E-05
    -4.600  1.5071924E-03  1.3554027E-03  1.5178964E-04
    -4.500  2.4704589E-03  2.2283508E-03  2.4210808E-04
    -4.400  4.4296163E-03  4.0203055E-03  4.0931078E-04
    -4.300  8.4624529E-03  7.7434250E-03  7.1902789E-04
    -4.200  1.4740644E-02  1.3609498E-02  1.1311459E-03
    -4.100  1.6800503E-02  1.5652468E-02  1.1480355E-03
    -4.000  1.2593157E-02  1.1839983E-02  7.5317472E-04
    -3.900  8.6169134E-03  8.1721943E-03  4.4471912E-04
    -3.800  6.2318914E-03  5.9573555E-03  2.7453596E-04
    -3.700  4.8565375E-03  4.6756202E-03  1.8091727E-04
    -3.600  4.0391457E-03  3.9130217E-03  1.2612400E-04
    -3.500  3.5423975E-03  3.4505038E-03  9.1893717E-05
    -3.400  3.2447876E-03  3.1755272E-03  6.9260466E-05
    -3.300  3.0826888E-03  3.0291297E-03  5.3559129E-05
    -3.200  3.0228551E-03  2.9806437E-03  4.2211323E-05
    -3.100  3.0497510E-03  3.0160421E-03  3.3708829E-05
    -3.000  3.1599051E-03  3.1327810E-03  2.7124139E-05
    -2.900  3.3600061E-03  3.3381576E-03  2.1848481E-05
    -2.800  3.6678203E-03  3.6503739E-03  1.7446322E-05
    -2.700  4.1162643E-03  4.1027054E-03  1.3558911E-05
    -2.600  4.7619280E-03  4.7521036E-03  9.8244116E-06
    -2.500  5.7024290E-03  5.6966531E-03  5.7758869E-06
    -2.400  7.1142522E-03  7.1135873E-03  6.6490482E-07
    -2.300  9.3339502E-03  9.3408506E-03 -6.9004595E-06
    -2.200  1.3062247E-02  1.3082086E-02 -1.9839043E-05
    -2.100  1.9905101E-02  1.9950015E-02 -4.4913931E-05
    -2.000  3.3989926E-02  3.4089305E-02 -9.9379841E-05
    -1.900  6.6257882E-02  6.6484405E-02 -2.2652251E-04
    -1.800  1.2952137E-01  1.2997422E-01 -4.5284854E-04
    -1.700  1.4552121E-01  1.4589819E-01 -3.7697326E-04
    -1.600  9.3277904E-02  9.3239194E-02  3.8710706E-05
    -1.500  6.2579744E-02  6.2281173E-02  2.9857136E-04
    -1.400  5.2774441E-02  5.2398173E-02  3.7626779E-04
    -1.300  5.7413771E-02  5.6886027E-02  5.2774407E-04
    -1.200  8.1992171E-02  8.1051361E-02  9.4081021E-04
    -1.100  1.5658621E-01  1.5448990E-01  2.0963097E-03
    -1.000  3.0631137E-01  3.0211198E-01  4.1993853E-03
    -0.900  2.1168983E-01  2.0962900E-01  2.0608291E-03
    -0.800  9.3255869E-02  9.2410211E-02  8.4565843E-04
    -0.700  4.5996304E-02  4.5578453E-02  4.1785047E-04
    -0.600  2.6854702E-02  2.6637841E-02  2.1686064E-04
    -0.500  1.8027090E-02  1.7904387E-02  1.2270252E-04
    -0.400  1.3337463E-02  1.3264878E-02  7.2585773E-05
    -0.300  1.0586643E-02  1.0543427E-02  4.3216452E-05
    -0.200  8.8676386E-03  8.8428506E-03  2.4788055E-05
    -0.100  7.7565367E-03  7.7439349E-03  1.2601849E-05
     0.000  7.0363818E-03  7.0322087E-03  4.1730786E-06
     0.100  6.5896593E-03  6.5915846E-03 -1.9253459E-06
     0.200  6.3517542E-03  6.3583440E-03 -6.5897983E-06
     0.300  6.2896437E-03  6.3001034E-03 -1.0459731E-05
     0.400  6.3921931E-03  6.4062874E-03 -1.4094274E-05
     0.500  6.6669438E-03  6.6850802E-03 -1.8136464E-05
     0.600  7.1515399E-03  7.1747918E-03 -2.3251877E-05
     0.700  7.8889930E-03  7.9208869E-03 -3.1893955E-05
     0.800  9.0365267E-03  9.0849169E-03 -4.8390187E-05
     0.900  1.0729075E-02  1.0807714E-02 -7.8639689E-05
     1.000  1.3379366E-02  1.3527707E-02 -1.4834156E-04
     1.100  1.7747648E-02  1.8077864E-02 -3.3021618E-04
     1.200  2.5803158E-02  2.6683367E-02 -8.8020858E-04
     1.300  4.2633060E-02  4.5234522E-02 -2.6014624E-03
     1.400  7.8619743E-02  8.2178325E-02 -3.5585825E-03
     1.500  1.4400981E-01  1.4240262E-01  1.6071897E-03
     1.600  2.3269817E-01  2.2531812E-01  7.3800509E-03
     1.700  2.5623231E-01  2.4724405E-01  8.9882549E-03
     1.800  2.0443509E-01  1.9738044E-01  7.0546420E-03
     1.900  1.3682054E-01  1.3226400E-01  4.5565424E-03
     2.000  9.3914701E-02  9.0977870E-02  2.9368310E-03
     2.100  7.0904334E-02  6.8921996E-02  1.9823381E-03
     2.200  5.9609532E-02  5.8227771E-02  1.3817613E-03
     2.300  5.5895389E-02  5.4935879E-02  9.5951046E-04
     2.400  5.7859453E-02  5.7238745E-02  6.2070733E-04
     2.500  6.3900425E-02  6.3583197E-02  3.1722740E-04
     2.600  7.1961153E-02  7.1932950E-02  2.8202070E-05
     2.700  8.1722201E-02  8.1999396E-02 -2.7719504E-04
     2.800  9.6518416E-02  9.7182160E-02 -6.6374417E-04
     2.900  1.2118356E-01  1.2234253E-01 -1.1589764E-03
     3.000  1.5513706E-01  1.5659269E-01 -1.4556321E-03
     3.100  1.7796933E-01  1.7850394E-01 -5.3460538E-04
     3.200  1.6641444E-01  1.6436985E-01  2.0445942E-03
     3.300  1.3470515E-01  1.3039779E-01  4.3073562E-03
     3.400  1.0128640E-01  9.6978358E-02  4.3080406E-03
     3.500  7.6635118E-02  7.3614417E-02  3.0207015E-03
